Player: t: 0.00, MSLAlt: 1827.03, speed(m/s): 234.36, heading: 5.05, x: -292013.22, y: 1827.03, z: 691489.25, pitch: 1.84, bank: -0.00, yaw: 289.57 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1827.03, speed(m/s): 234.36, heading: 5.05, x: -292012.02, y: 1827.03, z: 691485.86, pitch: 1.84, bank: -0.00, yaw: 289.57 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 1827.03, speed(m/s): 234.36, heading: 5.05, x: -292010.30, y: 1827.03, z: 691481.02, pitch: 1.82, bank: 0.01, yaw: 289.57 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1827.03, speed(m/s): 229.97, heading: 5.05, x: -292007.89, y: 1827.03, z: 691474.24, pitch: 1.75, bank: 0.05, yaw: 289.56 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1827.03, speed(m/s): 229.88, heading: 5.05, x: -292003.85, y: 1827.03, z: 691462.87, pitch: 1.58, bank: 0.16, yaw: 289.52 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1827.02, speed(m/s): 229.84, heading: 5.05, x: -292002.47, y: 1827.02, z: 691459.00, pitch: 1.55, bank: 0.20, yaw: 289.51 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1827.02, speed(m/s): 229.80, heading: 5.05, x: -292001.01, y: 1827.02, z: 691454.89, pitch: 1.50, bank: 0.26, yaw: 289.49 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1827.01, speed(m/s): 229.80, heading: 5.05, x: -291999.81, y: 1827.01, z: 691451.51, pitch: 1.46, bank: 0.32, yaw: 289.47 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1827.01, speed(m/s): 229.74, heading: 5.05, x: -291998.43, y: 1827.01, z: 691447.64, pitch: 1.43, bank: 0.36, yaw: 289.45 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1827.00, speed(m/s): 229.70, heading: 5.05, x: -291996.97, y: 1827.00, z: 691443.53, pitch: 1.40, bank: 0.42, yaw: 289.43 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1826.99, speed(m/s): 229.66, heading: 5.05, x: -291995.68, y: 1826.99, z: 691439.91, pitch: 1.37, bank: 0.48, yaw: 289.41 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1826.98, speed(m/s): 229.60, heading: 5.05, x: -291994.31, y: 1826.98, z: 691436.04, pitch: 1.35, bank: 0.51, yaw: 289.39 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1826.97, speed(m/s): 229.60, heading: 5.05, x: -291992.93, y: 1826.97, z: 691432.18, pitch: 1.33, bank: 0.56, yaw: 289.37 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 1826.96, speed(m/s): 229.55, heading: 5.05, x: -291991.73, y: 1826.96, z: 691428.80, pitch: 1.31, bank: 0.59, yaw: 289.36 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1826.95, speed(m/s): 229.51, heading: 5.05, x: -291990.44, y: 1826.95, z: 691425.18, pitch: 1.29, bank: 0.64, yaw: 289.33 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1826.93, speed(m/s): 229.45, heading: 5.05, x: -291988.98, y: 1826.93, z: 691421.07, pitch: 1.27, bank: 0.67, yaw: 289.32 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1826.92, speed(m/s): 229.45, heading: 5.05, x: -291987.69, y: 1826.92, z: 691417.45, pitch: 1.26, bank: 0.70, yaw: 289.30 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 1826.90, speed(m/s): 229.40, heading: 5.05, x: -291986.41, y: 1826.90, z: 691413.83, pitch: 1.24, bank: 0.73, yaw: 289.29 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 1826.89, speed(m/s): 229.36, heading: 5.05, x: -291984.95, y: 1826.88, z: 691409.73, pitch: 1.23, bank: 0.74, yaw: 289.27 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1826.87, speed(m/s): 229.30, heading: 5.05, x: -291983.57, y: 1826.87, z: 691405.87, pitch: 1.22, bank: 0.77, yaw: 289.26 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 1826.85, speed(m/s): 229.30, heading: 5.05, x: -291982.46, y: 1826.85, z: 691402.74, pitch: 1.21, bank: 0.78, yaw: 289.25 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 1826.83, speed(m/s): 229.25, heading: 5.05, x: -291981.00, y: 1826.83, z: 691398.64, pitch: 1.19, bank: 0.79, yaw: 289.24 Emitters.Mode: 0 
Player: t: 0.39, MSLAlt: 1826.82, speed(m/s): 229.21, heading: 5.05, x: -291979.80, y: 1826.81, z: 691395.26, pitch: 1.18, bank: 0.80, yaw: 289.23 Emitters.Mode: 0 
Player: t: 0.41, MSLAlt: 1826.79, speed(m/s): 229.15, heading: 5.05, x: -291978.43, y: 1826.79, z: 691391.41, pitch: 1.17, bank: 0.81, yaw: 289.22 Emitters.Mode: 0 
Player: t: 0.42, MSLAlt: 1826.77, speed(m/s): 229.11, heading: 5.05, x: -291977.06, y: 1826.76, z: 691387.55, pitch: 1.15, bank: 0.82, yaw: 289.21 Emitters.Mode: 0 
Player: t: 0.44, MSLAlt: 1826.75, speed(m/s): 229.11, heading: 5.05, x: -291975.69, y: 1826.74, z: 691383.69, pitch: 1.14, bank: 0.83, yaw: 289.20 Emitters.Mode: 0 
Player: t: 0.45, MSLAlt: 1826.72, speed(m/s): 229.06, heading: 5.05, x: -291974.40, y: 1826.72, z: 691380.08, pitch: 1.13, bank: 0.83, yaw: 289.19 Emitters.Mode: 0 
Player: t: 0.47, MSLAlt: 1826.69, speed(m/s): 229.00, heading: 5.05, x: -291972.94, y: 1826.69, z: 691375.98, pitch: 1.12, bank: 0.83, yaw: 289.18 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 1826.67, speed(m/s): 228.96, heading: 5.05, x: -291971.83, y: 1826.66, z: 691372.85, pitch: 1.11, bank: 0.84, yaw: 289.17 Emitters.Mode: 0 
Player: t: 0.50, MSLAlt: 1826.65, speed(m/s): 228.96, heading: 5.05, x: -291970.55, y: 1826.64, z: 691369.24, pitch: 1.10, bank: 0.84, yaw: 289.17 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 1826.61, speed(m/s): 228.91, heading: 5.05, x: -291969.09, y: 1826.61, z: 691365.15, pitch: 1.08, bank: 0.84, yaw: 289.16 Emitters.Mode: 0 
Player: t: 0.53, MSLAlt: 1826.58, speed(m/s): 228.85, heading: 5.05, x: -291967.89, y: 1826.58, z: 691361.78, pitch: 1.07, bank: 0.84, yaw: 289.15 Emitters.Mode: 0 
Player: t: 0.54, MSLAlt: 1826.56, speed(m/s): 228.81, heading: 5.05, x: -291966.52, y: 1826.55, z: 691357.93, pitch: 1.06, bank: 0.84, yaw: 289.15 Emitters.Mode: 0 
Player: t: 0.56, MSLAlt: 1826.52, speed(m/s): 228.76, heading: 5.05, x: -291965.15, y: 1826.52, z: 691354.08, pitch: 1.05, bank: 0.84, yaw: 289.14 Emitters.Mode: 0 
Player: t: 0.57, MSLAlt: 1826.50, speed(m/s): 228.76, heading: 5.05, x: -291963.87, y: 1826.49, z: 691350.47, pitch: 1.04, bank: 0.83, yaw: 289.14 Emitters.Mode: 0 
Player: t: 0.59, MSLAlt: 1826.46, speed(m/s): 228.70, heading: 5.05, x: -291962.50, y: 1826.45, z: 691346.62, pitch: 1.03, bank: 0.83, yaw: 289.13 Emitters.Mode: 0 
Player: t: 0.61, MSLAlt: 1826.42, speed(m/s): 228.66, heading: 5.05, x: -291961.13, y: 1826.42, z: 691342.77, pitch: 1.02, bank: 0.83, yaw: 289.12 Emitters.Mode: 0 
Player: t: 0.62, MSLAlt: 1826.39, speed(m/s): 228.62, heading: 5.05, x: -291959.85, y: 1826.38, z: 691339.16, pitch: 1.01, bank: 0.83, yaw: 289.12 Emitters.Mode: 0 
Player: t: 0.64, MSLAlt: 1826.35, speed(m/s): 228.62, heading: 5.05, x: -291958.56, y: 1826.35, z: 691335.55, pitch: 1.00, bank: 0.82, yaw: 289.11 Emitters.Mode: 0 
Player: t: 0.65, MSLAlt: 1826.31, speed(m/s): 228.56, heading: 5.05, x: -291957.11, y: 1826.31, z: 691331.47, pitch: 0.99, bank: 0.82, yaw: 289.11 Emitters.Mode: 0 
Player: t: 0.67, MSLAlt: 1826.28, speed(m/s): 228.51, heading: 5.05, x: -291955.91, y: 1826.27, z: 691328.10, pitch: 0.98, bank: 0.81, yaw: 289.11 Emitters.Mode: 0 
Player: t: 0.68, MSLAlt: 1826.23, speed(m/s): 228.47, heading: 5.05, x: -291954.54, y: 1826.23, z: 691324.26, pitch: 0.97, bank: 0.81, yaw: 289.10 Emitters.Mode: 0 
Player: t: 0.70, MSLAlt: 1826.20, speed(m/s): 228.41, heading: 5.05, x: -291953.18, y: 1826.19, z: 691320.41, pitch: 0.96, bank: 0.80, yaw: 289.10 Emitters.Mode: 0 
Player: t: 0.71, MSLAlt: 1826.15, speed(m/s): 228.41, heading: 5.05, x: -291951.90, y: 1826.15, z: 691316.81, pitch: 0.95, bank: 0.79, yaw: 289.09 Emitters.Mode: 0 
Player: t: 0.73, MSLAlt: 1826.12, speed(m/s): 228.37, heading: 5.05, x: -291950.61, y: 1826.11, z: 691313.20, pitch: 0.95, bank: 0.79, yaw: 289.09 Emitters.Mode: 0 
Player: t: 0.75, MSLAlt: 1826.07, speed(m/s): 228.32, heading: 5.05, x: -291949.16, y: 1826.06, z: 691309.12, pitch: 0.94, bank: 0.78, yaw: 289.09 Emitters.Mode: 0 
Player: t: 0.76, MSLAlt: 1826.02, speed(m/s): 228.26, heading: 5.05, x: -291947.88, y: 1826.02, z: 691305.52, pitch: 0.93, bank: 0.77, yaw: 289.08 Emitters.Mode: 0 
Player: t: 0.78, MSLAlt: 1825.99, speed(m/s): 228.26, heading: 5.05, x: -291946.60, y: 1825.98, z: 691301.92, pitch: 0.92, bank: 0.77, yaw: 289.08 Emitters.Mode: 0 
Player: t: 0.79, MSLAlt: 1825.94, speed(m/s): 228.22, heading: 5.04, x: -291945.15, y: 1825.93, z: 691297.84, pitch: 0.91, bank: 0.76, yaw: 289.08 Emitters.Mode: 0 
Player: t: 0.81, MSLAlt: 1825.88, speed(m/s): 228.18, heading: 5.04, x: -291943.78, y: 1825.88, z: 691294.00, pitch: 0.90, bank: 0.75, yaw: 289.07 Emitters.Mode: 0 
Player: t: 0.82, MSLAlt: 1825.85, speed(m/s): 228.12, heading: 5.04, x: -291942.59, y: 1825.84, z: 691290.64, pitch: 0.89, bank: 0.74, yaw: 289.07 Emitters.Mode: 0 
Player: t: 0.84, MSLAlt: 1825.79, speed(m/s): 228.08, heading: 5.04, x: -291941.14, y: 1825.79, z: 691286.56, pitch: 0.89, bank: 0.73, yaw: 289.07 Emitters.Mode: 0 
Player: t: 0.86, MSLAlt: 1825.75, speed(m/s): 228.08, heading: 5.04, x: -291939.86, y: 1825.74, z: 691282.96, pitch: 0.88, bank: 0.72, yaw: 289.07 Emitters.Mode: 0 
Player: t: 0.87, MSLAlt: 1825.70, speed(m/s): 228.03, heading: 5.04, x: -291938.49, y: 1825.69, z: 691279.12, pitch: 0.87, bank: 0.71, yaw: 289.07 Emitters.Mode: 0 
Player: t: 0.89, MSLAlt: 1825.64, speed(m/s): 227.98, heading: 5.04, x: -291937.13, y: 1825.64, z: 691275.28, pitch: 0.86, bank: 0.70, yaw: 289.06 Emitters.Mode: 0 
Player: t: 0.90, MSLAlt: 1825.60, speed(m/s): 227.93, heading: 5.04, x: -291935.93, y: 1825.59, z: 691271.93, pitch: 0.85, bank: 0.69, yaw: 289.06 Emitters.Mode: 0 
Player: t: 0.92, MSLAlt: 1825.54, speed(m/s): 227.93, heading: 5.04, x: -291934.57, y: 1825.54, z: 691268.09, pitch: 0.85, bank: 0.68, yaw: 289.06 Emitters.Mode: 0 
Player: t: 0.94, MSLAlt: 1825.50, speed(m/s): 227.89, heading: 5.04, x: -291933.12, y: 1825.48, z: 691264.02, pitch: 0.84, bank: 0.67, yaw: 289.06 Emitters.Mode: 0 
Player: t: 0.95, MSLAlt: 1825.44, speed(m/s): 227.83, heading: 5.04, x: -291931.92, y: 1825.43, z: 691260.66, pitch: 0.83, bank: 0.66, yaw: 289.06 Emitters.Mode: 0 
Player: t: 0.96, MSLAlt: 1825.39, speed(m/s): 227.79, heading: 5.04, x: -291930.56, y: 1825.38, z: 691256.83, pitch: 0.83, bank: 0.65, yaw: 289.06 Emitters.Mode: 0 
Player: t: 0.98, MSLAlt: 1825.33, speed(m/s): 227.75, heading: 5.04, x: -291929.28, y: 1825.32, z: 691253.23, pitch: 0.82, bank: 0.64, yaw: 289.06 Emitters.Mode: 0 
