Player: t: 0.00, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302927.78, y: 1279.81, z: 678108.13, pitch: 1.74, bank: -0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302925.06, y: 1279.81, z: 678105.39, pitch: 1.74, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302921.62, y: 1279.81, z: 678101.93, pitch: 1.73, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.07, MSLAlt: 1279.81, speed(m/s): 236.72, heading: 5.50, x: -302914.19, y: 1279.81, z: 678094.47, pitch: 1.61, bank: 0.01, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1279.80, speed(m/s): 236.57, heading: 5.50, x: -302906.05, y: 1279.80, z: 678086.28, pitch: 1.46, bank: 0.03, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1279.79, speed(m/s): 236.57, heading: 5.50, x: -302902.97, y: 1279.79, z: 678083.19, pitch: 1.43, bank: 0.04, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1279.79, speed(m/s): 236.52, heading: 5.49, x: -302900.25, y: 1279.79, z: 678080.46, pitch: 1.39, bank: 0.05, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1279.78, speed(m/s): 236.46, heading: 5.49, x: -302897.36, y: 1279.78, z: 678077.55, pitch: 1.35, bank: 0.06, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1279.77, speed(m/s): 236.41, heading: 5.49, x: -302894.28, y: 1279.77, z: 678074.46, pitch: 1.33, bank: 0.06, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1279.76, speed(m/s): 236.41, heading: 5.49, x: -302891.75, y: 1279.76, z: 678071.92, pitch: 1.30, bank: 0.07, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1279.75, speed(m/s): 236.36, heading: 5.49, x: -302888.86, y: 1279.75, z: 678069.01, pitch: 1.28, bank: 0.08, yaw: 314.85 Emitters.Mode: 0 
