Player: t: 0.00, MSLAlt: 640.98, speed(m/s): 248.50, heading: 8.84, x: -284551.84, y: 640.98, z: 662938.75, pitch: 1.64, bank: -0.00, yaw: 506.40 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 640.98, speed(m/s): 248.50, heading: 2.55, x: -284553.34, y: 640.98, z: 662939.75, pitch: 1.64, bank: 0.00, yaw: 146.38 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 640.98, speed(m/s): 248.50, heading: 2.55, x: -284557.62, y: 640.98, z: 662942.59, pitch: 1.63, bank: -0.00, yaw: 146.38 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 640.98, speed(m/s): 248.46, heading: 2.55, x: -284562.97, y: 640.98, z: 662946.15, pitch: 1.57, bank: -0.02, yaw: 146.38 Emitters.Mode: 0 
Player: t: 0.08, MSLAlt: 640.97, speed(m/s): 250.19, heading: 2.55, x: -284569.81, y: 640.97, z: 662950.70, pitch: 1.45, bank: -0.06, yaw: 146.39 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 640.97, speed(m/s): 250.19, heading: 2.55, x: -284572.80, y: 640.97, z: 662952.69, pitch: 1.41, bank: -0.07, yaw: 146.40 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 640.97, speed(m/s): 250.12, heading: 2.56, x: -284576.43, y: 640.97, z: 662955.11, pitch: 1.35, bank: -0.10, yaw: 146.41 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 640.96, speed(m/s): 250.06, heading: 2.56, x: -284579.42, y: 640.96, z: 662957.10, pitch: 1.32, bank: -0.12, yaw: 146.41 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 640.96, speed(m/s): 250.01, heading: 2.56, x: -284582.83, y: 640.96, z: 662959.37, pitch: 1.28, bank: -0.16, yaw: 146.42 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 640.95, speed(m/s): 249.93, heading: 2.56, x: -284586.25, y: 640.95, z: 662961.65, pitch: 1.26, bank: -0.18, yaw: 146.43 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 640.94, speed(m/s): 249.93, heading: 2.56, x: -284589.03, y: 640.94, z: 662963.49, pitch: 1.23, bank: -0.21, yaw: 146.44 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 640.94, speed(m/s): 249.87, heading: 2.56, x: -284592.65, y: 640.94, z: 662965.91, pitch: 1.21, bank: -0.23, yaw: 146.45 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 640.93, speed(m/s): 249.82, heading: 2.56, x: -284596.07, y: 640.93, z: 662968.18, pitch: 1.18, bank: -0.26, yaw: 146.46 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 640.92, speed(m/s): 249.74, heading: 2.56, x: -284599.48, y: 640.91, z: 662970.45, pitch: 1.16, bank: -0.29, yaw: 146.47 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 640.91, speed(m/s): 249.74, heading: 2.56, x: -284602.25, y: 640.90, z: 662972.30, pitch: 1.15, bank: -0.30, yaw: 146.48 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 640.89, speed(m/s): 249.68, heading: 2.56, x: -284605.88, y: 640.89, z: 662974.71, pitch: 1.13, bank: -0.32, yaw: 146.49 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 640.88, speed(m/s): 249.62, heading: 2.56, x: -284609.29, y: 640.88, z: 662976.98, pitch: 1.12, bank: -0.34, yaw: 146.50 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 640.86, speed(m/s): 249.54, heading: 2.56, x: -284612.27, y: 640.86, z: 662978.97, pitch: 1.11, bank: -0.35, yaw: 146.51 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 640.85, speed(m/s): 249.54, heading: 2.56, x: -284615.47, y: 640.85, z: 662981.09, pitch: 1.10, bank: -0.36, yaw: 146.51 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 640.83, speed(m/s): 249.48, heading: 2.56, x: -284618.87, y: 640.83, z: 662983.36, pitch: 1.08, bank: -0.37, yaw: 146.52 Emitters.Mode: 0 
Player: t: 0.33, MSLAlt: 640.82, speed(m/s): 249.42, heading: 2.56, x: -284622.07, y: 640.81, z: 662985.49, pitch: 1.07, bank: -0.38, yaw: 146.53 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 640.80, speed(m/s): 249.34, heading: 2.56, x: -284625.48, y: 640.79, z: 662987.76, pitch: 1.06, bank: -0.39, yaw: 146.53 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 640.77, speed(m/s): 249.28, heading: 2.56, x: -284628.88, y: 640.77, z: 662990.03, pitch: 1.05, bank: -0.39, yaw: 146.54 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 640.76, speed(m/s): 249.28, heading: 2.56, x: -284632.07, y: 640.75, z: 662992.15, pitch: 1.04, bank: -0.40, yaw: 146.54 Emitters.Mode: 0 
Player: t: 0.39, MSLAlt: 640.73, speed(m/s): 249.23, heading: 2.56, x: -284635.48, y: 640.73, z: 662994.42, pitch: 1.03, bank: -0.40, yaw: 146.55 Emitters.Mode: 0 
Player: t: 0.41, MSLAlt: 640.71, speed(m/s): 249.15, heading: 2.56, x: -284638.67, y: 640.70, z: 662996.54, pitch: 1.02, bank: -0.40, yaw: 146.55 Emitters.Mode: 0 
Player: t: 0.42, MSLAlt: 640.68, speed(m/s): 249.09, heading: 2.56, x: -284641.86, y: 640.68, z: 662998.67, pitch: 1.01, bank: -0.41, yaw: 146.55 Emitters.Mode: 0 
Player: t: 0.44, MSLAlt: 640.66, speed(m/s): 249.09, heading: 2.56, x: -284645.26, y: 640.66, z: 663000.93, pitch: 0.99, bank: -0.41, yaw: 146.56 Emitters.Mode: 0 
Player: t: 0.45, MSLAlt: 640.64, speed(m/s): 249.03, heading: 2.56, x: -284648.45, y: 640.63, z: 663003.05, pitch: 0.99, bank: -0.41, yaw: 146.56 Emitters.Mode: 0 
Player: t: 0.47, MSLAlt: 640.60, speed(m/s): 248.95, heading: 2.56, x: -284651.86, y: 640.60, z: 663005.32, pitch: 0.97, bank: -0.41, yaw: 146.57 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 640.58, speed(m/s): 248.89, heading: 2.56, x: -284655.04, y: 640.57, z: 663007.44, pitch: 0.97, bank: -0.41, yaw: 146.57 Emitters.Mode: 0 
Player: t: 0.50, MSLAlt: 640.55, speed(m/s): 248.83, heading: 2.56, x: -284658.44, y: 640.54, z: 663009.70, pitch: 0.96, bank: -0.41, yaw: 146.57 Emitters.Mode: 0 
Player: t: 0.52, MSLAlt: 640.53, speed(m/s): 248.83, heading: 2.56, x: -284661.63, y: 640.52, z: 663011.83, pitch: 0.95, bank: -0.41, yaw: 146.57 Emitters.Mode: 0 
Player: t: 0.53, MSLAlt: 640.49, speed(m/s): 248.76, heading: 2.56, x: -284665.03, y: 640.48, z: 663014.09, pitch: 0.94, bank: -0.41, yaw: 146.58 Emitters.Mode: 0 
Player: t: 0.55, MSLAlt: 640.45, speed(m/s): 248.70, heading: 2.56, x: -284668.21, y: 640.45, z: 663016.21, pitch: 0.93, bank: -0.41, yaw: 146.58 Emitters.Mode: 0 
Player: t: 0.56, MSLAlt: 640.43, speed(m/s): 248.64, heading: 2.56, x: -284671.61, y: 640.42, z: 663018.47, pitch: 0.92, bank: -0.41, yaw: 146.58 Emitters.Mode: 0 
Player: t: 0.58, MSLAlt: 640.39, speed(m/s): 248.64, heading: 2.56, x: -284674.80, y: 640.39, z: 663020.59, pitch: 0.91, bank: -0.41, yaw: 146.59 Emitters.Mode: 0 
Player: t: 0.59, MSLAlt: 640.35, speed(m/s): 248.56, heading: 2.56, x: -284678.40, y: 640.35, z: 663022.99, pitch: 0.90, bank: -0.41, yaw: 146.59 Emitters.Mode: 0 
Player: t: 0.61, MSLAlt: 640.32, speed(m/s): 248.51, heading: 2.56, x: -284681.59, y: 640.31, z: 663025.11, pitch: 0.89, bank: -0.41, yaw: 146.59 Emitters.Mode: 0 
Player: t: 0.63, MSLAlt: 640.28, speed(m/s): 248.45, heading: 2.56, x: -284684.98, y: 640.28, z: 663027.37, pitch: 0.88, bank: -0.41, yaw: 146.60 Emitters.Mode: 0 
Player: t: 0.64, MSLAlt: 640.23, speed(m/s): 248.37, heading: 2.56, x: -284688.59, y: 640.23, z: 663029.77, pitch: 0.87, bank: -0.41, yaw: 146.60 Emitters.Mode: 0 
Player: t: 0.66, MSLAlt: 640.21, speed(m/s): 248.37, heading: 2.56, x: -284691.77, y: 640.20, z: 663031.89, pitch: 0.86, bank: -0.41, yaw: 146.60 Emitters.Mode: 0 
Player: t: 0.67, MSLAlt: 640.17, speed(m/s): 248.32, heading: 2.56, x: -284694.74, y: 640.16, z: 663033.86, pitch: 0.86, bank: -0.41, yaw: 146.60 Emitters.Mode: 0 
Player: t: 0.69, MSLAlt: 640.13, speed(m/s): 248.26, heading: 2.56, x: -284698.34, y: 640.12, z: 663036.26, pitch: 0.85, bank: -0.41, yaw: 146.60 Emitters.Mode: 0 
Player: t: 0.70, MSLAlt: 640.08, speed(m/s): 248.19, heading: 2.56, x: -284701.52, y: 640.08, z: 663038.38, pitch: 0.84, bank: -0.40, yaw: 146.61 Emitters.Mode: 0 
Player: t: 0.72, MSLAlt: 640.05, speed(m/s): 248.19, heading: 2.56, x: -284704.70, y: 640.04, z: 663040.50, pitch: 0.83, bank: -0.40, yaw: 146.61 Emitters.Mode: 0 
Player: t: 0.73, MSLAlt: 640.00, speed(m/s): 248.13, heading: 2.56, x: -284708.09, y: 639.99, z: 663042.75, pitch: 0.82, bank: -0.40, yaw: 146.61 Emitters.Mode: 0 
Player: t: 0.75, MSLAlt: 639.95, speed(m/s): 248.07, heading: 2.56, x: -284711.48, y: 639.95, z: 663045.01, pitch: 0.81, bank: -0.40, yaw: 146.61 Emitters.Mode: 0 
Player: t: 0.77, MSLAlt: 639.91, speed(m/s): 248.00, heading: 2.56, x: -284714.86, y: 639.90, z: 663047.26, pitch: 0.80, bank: -0.39, yaw: 146.61 Emitters.Mode: 0 
Player: t: 0.78, MSLAlt: 639.86, speed(m/s): 247.95, heading: 2.56, x: -284718.25, y: 639.86, z: 663049.52, pitch: 0.80, bank: -0.39, yaw: 146.61 Emitters.Mode: 0 
Player: t: 0.80, MSLAlt: 639.83, speed(m/s): 247.95, heading: 2.56, x: -284721.43, y: 639.81, z: 663051.63, pitch: 0.79, bank: -0.39, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.81, MSLAlt: 639.77, speed(m/s): 247.89, heading: 2.56, x: -284724.81, y: 639.76, z: 663053.89, pitch: 0.78, bank: -0.38, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.83, MSLAlt: 639.72, speed(m/s): 247.82, heading: 2.56, x: -284727.99, y: 639.72, z: 663056.00, pitch: 0.77, bank: -0.38, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.84, MSLAlt: 639.68, speed(m/s): 247.76, heading: 2.56, x: -284730.95, y: 639.67, z: 663057.97, pitch: 0.77, bank: -0.38, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.86, MSLAlt: 639.64, speed(m/s): 247.76, heading: 2.56, x: -284734.12, y: 639.62, z: 663060.08, pitch: 0.76, bank: -0.37, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.87, MSLAlt: 639.58, speed(m/s): 247.71, heading: 2.56, x: -284737.72, y: 639.57, z: 663062.48, pitch: 0.75, bank: -0.37, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.89, MSLAlt: 639.52, speed(m/s): 247.64, heading: 2.56, x: -284740.68, y: 639.52, z: 663064.45, pitch: 0.74, bank: -0.37, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.90, MSLAlt: 639.48, speed(m/s): 247.58, heading: 2.56, x: -284743.85, y: 639.47, z: 663066.56, pitch: 0.74, bank: -0.36, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.92, MSLAlt: 639.42, speed(m/s): 247.58, heading: 2.56, x: -284747.02, y: 639.42, z: 663068.67, pitch: 0.73, bank: -0.36, yaw: 146.62 Emitters.Mode: 0 
Player: t: 0.93, MSLAlt: 639.38, speed(m/s): 247.53, heading: 2.56, x: -284750.40, y: 639.37, z: 663070.92, pitch: 0.72, bank: -0.35, yaw: 146.63 Emitters.Mode: 0 
Player: t: 0.95, MSLAlt: 639.32, speed(m/s): 247.46, heading: 2.56, x: -284753.36, y: 639.32, z: 663072.89, pitch: 0.71, bank: -0.35, yaw: 146.63 Emitters.Mode: 0 
Player: t: 0.97, MSLAlt: 639.26, speed(m/s): 247.40, heading: 2.56, x: -284757.16, y: 639.26, z: 663075.42, pitch: 0.71, bank: -0.34, yaw: 146.63 Emitters.Mode: 0 
Player: t: 0.98, MSLAlt: 639.21, speed(m/s): 247.35, heading: 2.56, x: -284760.12, y: 639.21, z: 663077.39, pitch: 0.70, bank: -0.34, yaw: 146.63 Emitters.Mode: 0 
