Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 9.41, x: -271972.38, y: 1338.23, z: 675209.94, pitch: 2.37, bank: -0.00, yaw: 539.06 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.12, x: -271976.13, y: 1338.23, z: 675210.00, pitch: 2.37, bank: 0.00, yaw: 179.04 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 3.12, x: -271980.33, y: 1338.23, z: 675210.07, pitch: 2.35, bank: 0.02, yaw: 179.03 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1338.23, speed(m/s): 209.48, heading: 3.12, x: -271986.51, y: 1338.23, z: 675210.18, pitch: 2.28, bank: 0.06, yaw: 179.02 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1338.23, speed(m/s): 209.41, heading: 3.12, x: -271996.89, y: 1338.23, z: 675210.35, pitch: 2.11, bank: 0.23, yaw: 178.97 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 209.38, heading: 3.12, x: -272000.20, y: 1338.23, z: 675210.40, pitch: 2.04, bank: 0.31, yaw: 178.95 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1338.23, speed(m/s): 209.35, heading: 3.12, x: -272003.51, y: 1338.23, z: 675210.45, pitch: 2.00, bank: 0.37, yaw: 178.93 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1338.23, speed(m/s): 209.35, heading: 3.12, x: -272007.48, y: 1338.23, z: 675210.52, pitch: 1.95, bank: 0.46, yaw: 178.90 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1338.23, speed(m/s): 209.31, heading: 3.12, x: -272010.57, y: 1338.23, z: 675210.57, pitch: 1.91, bank: 0.52, yaw: 178.88 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1338.22, speed(m/s): 209.28, heading: 3.12, x: -272014.10, y: 1338.22, z: 675210.63, pitch: 1.87, bank: 0.61, yaw: 178.84 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1338.22, speed(m/s): 209.25, heading: 3.12, x: -272017.63, y: 1338.22, z: 675210.68, pitch: 1.83, bank: 0.70, yaw: 178.81 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1338.22, speed(m/s): 209.20, heading: 3.12, x: -272020.94, y: 1338.21, z: 675210.73, pitch: 1.80, bank: 0.76, yaw: 178.78 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1338.21, speed(m/s): 209.20, heading: 3.12, x: -272024.46, y: 1338.21, z: 675210.79, pitch: 1.76, bank: 0.85, yaw: 178.75 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1338.20, speed(m/s): 209.17, heading: 3.12, x: -272028.65, y: 1338.20, z: 675210.86, pitch: 1.73, bank: 0.93, yaw: 178.71 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1338.20, speed(m/s): 209.14, heading: 3.12, x: -272031.52, y: 1338.19, z: 675210.90, pitch: 1.71, bank: 0.97, yaw: 178.69 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1338.19, speed(m/s): 209.09, heading: 3.12, x: -272034.82, y: 1338.19, z: 675210.96, pitch: 1.68, bank: 1.04, yaw: 178.66 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1338.18, speed(m/s): 209.09, heading: 3.12, x: -272038.35, y: 1338.18, z: 675211.01, pitch: 1.66, bank: 1.09, yaw: 178.64 Emitters.Mode: 0 
