Player: t: 0.00, MSLAlt: 669.50, speed(m/s): 248.16, heading: 9.37, x: -278200.44, y: 669.50, z: 675209.94, pitch: 1.64, bank: -0.00, yaw: 536.79 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 669.49, speed(m/s): 248.16, heading: 3.08, x: -278204.29, y: 669.49, z: 675210.16, pitch: 1.64, bank: -0.00, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 669.49, speed(m/s): 248.16, heading: 3.08, x: -278209.41, y: 669.49, z: 675210.45, pitch: 1.62, bank: 0.00, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 669.49, speed(m/s): 250.19, heading: 3.08, x: -278216.34, y: 669.49, z: 675210.84, pitch: 1.54, bank: 0.00, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 669.49, speed(m/s): 250.06, heading: 3.08, x: -278228.13, y: 669.49, z: 675211.51, pitch: 1.38, bank: 0.01, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 669.48, speed(m/s): 250.01, heading: 3.08, x: -278231.97, y: 669.48, z: 675211.73, pitch: 1.34, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 669.48, speed(m/s): 249.95, heading: 3.08, x: -278236.58, y: 669.48, z: 675211.99, pitch: 1.30, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 669.47, speed(m/s): 249.95, heading: 3.08, x: -278240.16, y: 669.47, z: 675212.19, pitch: 1.28, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 669.46, speed(m/s): 249.88, heading: 3.08, x: -278244.00, y: 669.46, z: 675212.41, pitch: 1.25, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 669.46, speed(m/s): 249.82, heading: 3.08, x: -278248.10, y: 669.46, z: 675212.64, pitch: 1.22, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 669.45, speed(m/s): 249.76, heading: 3.08, x: -278251.68, y: 669.45, z: 675212.84, pitch: 1.20, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 669.44, speed(m/s): 249.76, heading: 3.08, x: -278255.78, y: 669.44, z: 675213.07, pitch: 1.18, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 669.43, speed(m/s): 249.68, heading: 3.08, x: -278259.87, y: 669.42, z: 675213.31, pitch: 1.16, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 669.41, speed(m/s): 249.62, heading: 3.08, x: -278263.96, y: 669.41, z: 675213.54, pitch: 1.15, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 669.40, speed(m/s): 249.56, heading: 3.08, x: -278267.79, y: 669.40, z: 675213.76, pitch: 1.14, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 669.38, speed(m/s): 249.56, heading: 3.08, x: -278271.88, y: 669.38, z: 675213.99, pitch: 1.12, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 669.37, speed(m/s): 249.48, heading: 3.08, x: -278275.72, y: 669.37, z: 675214.21, pitch: 1.11, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
