Player: t: 0.00, MSLAlt: 669.50, speed(m/s): 248.16, heading: 9.37, x: -278200.44, y: 669.50, z: 675209.94, pitch: 1.64, bank: -0.00, yaw: 536.79 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 669.49, speed(m/s): 248.16, heading: 3.08, x: -278202.49, y: 669.49, z: 675210.05, pitch: 1.64, bank: -0.00, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 669.49, speed(m/s): 248.16, heading: 3.08, x: -278208.65, y: 669.49, z: 675210.40, pitch: 1.62, bank: 0.00, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 669.49, speed(m/s): 248.12, heading: 3.08, x: -278215.06, y: 669.49, z: 675210.77, pitch: 1.56, bank: 0.00, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 669.49, speed(m/s): 250.06, heading: 3.08, x: -278227.36, y: 669.49, z: 675211.46, pitch: 1.39, bank: 0.01, yaw: 176.77 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 669.48, speed(m/s): 250.06, heading: 3.08, x: -278230.69, y: 669.48, z: 675211.65, pitch: 1.36, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 669.48, speed(m/s): 250.01, heading: 3.08, x: -278235.30, y: 669.48, z: 675211.91, pitch: 1.32, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 669.47, speed(m/s): 249.95, heading: 3.08, x: -278239.14, y: 669.47, z: 675212.13, pitch: 1.28, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 669.47, speed(m/s): 249.88, heading: 3.08, x: -278242.72, y: 669.47, z: 675212.33, pitch: 1.26, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 669.46, speed(m/s): 249.82, heading: 3.08, x: -278246.56, y: 669.46, z: 675212.55, pitch: 1.23, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 669.45, speed(m/s): 249.82, heading: 3.08, x: -278250.66, y: 669.45, z: 675212.78, pitch: 1.21, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 669.44, speed(m/s): 249.76, heading: 3.08, x: -278254.75, y: 669.44, z: 675213.02, pitch: 1.18, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 669.43, speed(m/s): 249.68, heading: 3.08, x: -278258.08, y: 669.43, z: 675213.21, pitch: 1.17, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 669.42, speed(m/s): 249.62, heading: 3.08, x: -278262.68, y: 669.41, z: 675213.47, pitch: 1.15, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 669.41, speed(m/s): 249.62, heading: 3.08, x: -278266.26, y: 669.40, z: 675213.67, pitch: 1.14, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 669.39, speed(m/s): 249.56, heading: 3.08, x: -278270.61, y: 669.39, z: 675213.92, pitch: 1.13, bank: 0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 669.37, speed(m/s): 249.48, heading: 3.08, x: -278274.18, y: 669.37, z: 675214.12, pitch: 1.11, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 669.36, speed(m/s): 249.42, heading: 3.08, x: -278278.27, y: 669.36, z: 675214.35, pitch: 1.10, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 669.34, speed(m/s): 249.42, heading: 3.08, x: -278281.85, y: 669.34, z: 675214.55, pitch: 1.09, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 669.33, speed(m/s): 249.37, heading: 3.08, x: -278286.19, y: 669.32, z: 675214.80, pitch: 1.08, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 669.30, speed(m/s): 249.29, heading: 3.08, x: -278289.77, y: 669.30, z: 675215.00, pitch: 1.07, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 669.29, speed(m/s): 249.23, heading: 3.08, x: -278293.85, y: 669.28, z: 675215.23, pitch: 1.06, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.38, MSLAlt: 669.26, speed(m/s): 249.17, heading: 3.08, x: -278298.19, y: 669.26, z: 675215.48, pitch: 1.04, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 669.24, speed(m/s): 249.17, heading: 3.08, x: -278302.53, y: 669.23, z: 675215.73, pitch: 1.03, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.41, MSLAlt: 669.22, speed(m/s): 249.09, heading: 3.08, x: -278305.85, y: 669.21, z: 675215.91, pitch: 1.02, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 669.19, speed(m/s): 249.03, heading: 3.08, x: -278310.19, y: 669.18, z: 675216.16, pitch: 1.01, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.44, MSLAlt: 669.17, speed(m/s): 248.97, heading: 3.08, x: -278313.76, y: 669.16, z: 675216.36, pitch: 1.00, bank: 0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.46, MSLAlt: 669.13, speed(m/s): 248.89, heading: 3.08, x: -278318.60, y: 669.13, z: 675216.64, pitch: 0.99, bank: 0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 669.11, speed(m/s): 248.89, heading: 3.08, x: -278322.17, y: 669.10, z: 675216.84, pitch: 0.98, bank: 0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.49, MSLAlt: 669.08, speed(m/s): 248.84, heading: 3.08, x: -278325.99, y: 669.08, z: 675217.06, pitch: 0.97, bank: 0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 669.05, speed(m/s): 248.78, heading: 3.08, x: -278329.82, y: 669.05, z: 675217.27, pitch: 0.96, bank: 0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.52, MSLAlt: 669.01, speed(m/s): 248.70, heading: 3.08, x: -278334.40, y: 669.01, z: 675217.53, pitch: 0.95, bank: -0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.54, MSLAlt: 668.99, speed(m/s): 248.70, heading: 3.08, x: -278337.71, y: 668.98, z: 675217.72, pitch: 0.94, bank: -0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.55, MSLAlt: 668.95, speed(m/s): 248.64, heading: 3.08, x: -278341.79, y: 668.95, z: 675217.95, pitch: 0.93, bank: -0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.57, MSLAlt: 668.93, speed(m/s): 248.58, heading: 3.08, x: -278345.86, y: 668.92, z: 675218.18, pitch: 0.92, bank: -0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.58, MSLAlt: 668.89, speed(m/s): 248.51, heading: 3.08, x: -278349.68, y: 668.88, z: 675218.40, pitch: 0.91, bank: -0.00, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.60, MSLAlt: 668.85, speed(m/s): 248.45, heading: 3.08, x: -278353.75, y: 668.85, z: 675218.63, pitch: 0.90, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.62, MSLAlt: 668.80, speed(m/s): 248.45, heading: 3.08, x: -278358.34, y: 668.80, z: 675218.89, pitch: 0.89, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.63, MSLAlt: 668.78, speed(m/s): 248.39, heading: 3.08, x: -278361.90, y: 668.77, z: 675219.09, pitch: 0.89, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.65, MSLAlt: 668.73, speed(m/s): 248.32, heading: 3.08, x: -278366.22, y: 668.73, z: 675219.34, pitch: 0.88, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.66, MSLAlt: 668.70, speed(m/s): 248.26, heading: 3.08, x: -278370.04, y: 668.69, z: 675219.55, pitch: 0.87, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.68, MSLAlt: 668.66, speed(m/s): 248.26, heading: 3.08, x: -278373.85, y: 668.65, z: 675219.77, pitch: 0.86, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.69, MSLAlt: 668.62, speed(m/s): 248.20, heading: 3.08, x: -278377.92, y: 668.61, z: 675220.00, pitch: 0.85, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.71, MSLAlt: 668.58, speed(m/s): 248.13, heading: 3.08, x: -278382.24, y: 668.56, z: 675220.25, pitch: 0.84, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.73, MSLAlt: 668.53, speed(m/s): 248.07, heading: 3.08, x: -278385.80, y: 668.53, z: 675220.45, pitch: 0.83, bank: -0.01, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.74, MSLAlt: 668.49, speed(m/s): 248.01, heading: 3.08, x: -278389.86, y: 668.48, z: 675220.68, pitch: 0.83, bank: -0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.76, MSLAlt: 668.44, speed(m/s): 247.94, heading: 3.08, x: -278394.43, y: 668.43, z: 675220.94, pitch: 0.82, bank: -0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.77, MSLAlt: 668.41, speed(m/s): 247.94, heading: 3.08, x: -278397.74, y: 668.39, z: 675221.12, pitch: 0.81, bank: -0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.79, MSLAlt: 668.35, speed(m/s): 247.89, heading: 3.08, x: -278401.80, y: 668.34, z: 675221.35, pitch: 0.80, bank: -0.02, yaw: 176.76 Emitters.Mode: 0 
Player: t: 0.81, MSLAlt: 668.30, speed(m/s): 247.83, heading: 3.08, x: -278406.11, y: 668.29, z: 675221.60, pitch: 0.79, bank: -0.02, yaw: 176.76 Emitters.Mode: 0 
