Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 5.01, x: -298163.25, y: 1338.23, z: 687962.38, pitch: 2.37, bank: -0.00, yaw: 286.79 Emitters.Mode: 0 
Player: t: 0.01, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 5.01, x: -298162.74, y: 1338.23, z: 687960.68, pitch: 2.37, bank: 0.00, yaw: 286.79 Emitters.Mode: 0 
Player: t: 0.03, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 5.00, x: -298161.59, y: 1338.23, z: 687956.87, pitch: 2.36, bank: 0.00, yaw: 286.79 Emitters.Mode: 0 
Player: t: 0.05, MSLAlt: 1338.23, speed(m/s): 206.41, heading: 5.00, x: -298159.81, y: 1338.23, z: 687950.95, pitch: 2.31, bank: 0.04, yaw: 286.78 Emitters.Mode: 0 
Player: t: 0.10, MSLAlt: 1338.23, speed(m/s): 202.64, heading: 5.00, x: -298156.75, y: 1338.23, z: 687940.80, pitch: 2.15, bank: 0.16, yaw: 286.75 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1338.23, speed(m/s): 202.64, heading: 5.00, x: -298155.85, y: 1338.23, z: 687937.84, pitch: 2.10, bank: 0.19, yaw: 286.73 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 202.61, heading: 5.00, x: -298154.83, y: 1338.23, z: 687934.46, pitch: 2.05, bank: 0.26, yaw: 286.71 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1338.23, speed(m/s): 202.59, heading: 5.00, x: -298153.87, y: 1338.22, z: 687931.29, pitch: 2.01, bank: 0.30, yaw: 286.70 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1338.22, speed(m/s): 202.55, heading: 5.00, x: -298152.85, y: 1338.22, z: 687927.91, pitch: 1.96, bank: 0.37, yaw: 286.67 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1338.22, speed(m/s): 202.52, heading: 5.00, x: -298151.77, y: 1338.22, z: 687924.32, pitch: 1.91, bank: 0.44, yaw: 286.65 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1338.21, speed(m/s): 202.52, heading: 5.00, x: -298150.88, y: 1338.21, z: 687921.36, pitch: 1.89, bank: 0.49, yaw: 286.63 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1338.21, speed(m/s): 202.49, heading: 5.00, x: -298149.92, y: 1338.21, z: 687918.20, pitch: 1.86, bank: 0.54, yaw: 286.61 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1338.20, speed(m/s): 202.45, heading: 5.00, x: -298148.90, y: 1338.20, z: 687914.82, pitch: 1.82, bank: 0.61, yaw: 286.58 Emitters.Mode: 0 
Player: t: 0.24, MSLAlt: 1338.19, speed(m/s): 202.42, heading: 5.00, x: -298147.88, y: 1338.19, z: 687911.44, pitch: 1.79, bank: 0.67, yaw: 286.56 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1338.18, speed(m/s): 202.42, heading: 5.00, x: -298146.99, y: 1338.18, z: 687908.49, pitch: 1.77, bank: 0.71, yaw: 286.54 Emitters.Mode: 0 
Player: t: 0.27, MSLAlt: 1338.17, speed(m/s): 202.39, heading: 5.00, x: -298145.90, y: 1338.17, z: 687904.90, pitch: 1.74, bank: 0.77, yaw: 286.51 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1338.17, speed(m/s): 202.34, heading: 5.00, x: -298145.01, y: 1338.16, z: 687901.95, pitch: 1.72, bank: 0.81, yaw: 286.49 Emitters.Mode: 0 
Player: t: 0.30, MSLAlt: 1338.15, speed(m/s): 202.31, heading: 5.00, x: -298143.99, y: 1338.15, z: 687898.57, pitch: 1.69, bank: 0.86, yaw: 286.47 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 1338.14, speed(m/s): 202.31, heading: 5.00, x: -298142.91, y: 1338.14, z: 687894.98, pitch: 1.67, bank: 0.91, yaw: 286.44 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1338.12, speed(m/s): 202.28, heading: 5.00, x: -298141.63, y: 1338.12, z: 687890.77, pitch: 1.65, bank: 0.95, yaw: 286.42 Emitters.Mode: 0 
Player: t: 0.36, MSLAlt: 1338.11, speed(m/s): 202.24, heading: 5.00, x: -298140.55, y: 1338.11, z: 687887.18, pitch: 1.62, bank: 0.98, yaw: 286.40 Emitters.Mode: 0 
Player: t: 0.37, MSLAlt: 1338.10, speed(m/s): 202.20, heading: 5.00, x: -298139.59, y: 1338.09, z: 687884.02, pitch: 1.61, bank: 1.01, yaw: 286.39 Emitters.Mode: 0 
Player: t: 0.39, MSLAlt: 1338.08, speed(m/s): 202.17, heading: 5.00, x: -298138.57, y: 1338.07, z: 687880.65, pitch: 1.59, bank: 1.04, yaw: 286.37 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 1338.06, speed(m/s): 202.13, heading: 5.00, x: -298137.49, y: 1338.06, z: 687877.06, pitch: 1.57, bank: 1.06, yaw: 286.35 Emitters.Mode: 0 
Player: t: 0.42, MSLAlt: 1338.04, speed(m/s): 202.13, heading: 5.00, x: -298136.54, y: 1338.04, z: 687873.90, pitch: 1.55, bank: 1.08, yaw: 286.34 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 1338.02, speed(m/s): 202.10, heading: 5.00, x: -298135.58, y: 1338.02, z: 687870.74, pitch: 1.53, bank: 1.09, yaw: 286.32 Emitters.Mode: 0 
Player: t: 0.45, MSLAlt: 1338.00, speed(m/s): 202.06, heading: 5.00, x: -298134.50, y: 1338.00, z: 687867.16, pitch: 1.51, bank: 1.11, yaw: 286.30 Emitters.Mode: 0 
Player: t: 0.47, MSLAlt: 1337.98, speed(m/s): 202.02, heading: 5.00, x: -298133.61, y: 1337.98, z: 687864.21, pitch: 1.50, bank: 1.12, yaw: 286.29 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 1337.96, speed(m/s): 201.99, heading: 5.00, x: -298132.59, y: 1337.96, z: 687860.84, pitch: 1.48, bank: 1.13, yaw: 286.28 Emitters.Mode: 0 
Player: t: 0.50, MSLAlt: 1337.93, speed(m/s): 201.99, heading: 5.00, x: -298131.51, y: 1337.93, z: 687857.26, pitch: 1.46, bank: 1.14, yaw: 286.27 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 1337.92, speed(m/s): 201.95, heading: 5.00, x: -298130.62, y: 1337.91, z: 687854.31, pitch: 1.45, bank: 1.14, yaw: 286.26 Emitters.Mode: 0 
Player: t: 0.53, MSLAlt: 1337.89, speed(m/s): 201.91, heading: 5.00, x: -298129.60, y: 1337.89, z: 687850.94, pitch: 1.43, bank: 1.15, yaw: 286.25 Emitters.Mode: 0 
Player: t: 0.55, MSLAlt: 1337.87, speed(m/s): 201.88, heading: 5.00, x: -298128.52, y: 1337.86, z: 687847.36, pitch: 1.42, bank: 1.15, yaw: 286.24 Emitters.Mode: 0 
Player: t: 0.56, MSLAlt: 1337.84, speed(m/s): 201.88, heading: 5.00, x: -298127.63, y: 1337.84, z: 687844.42, pitch: 1.40, bank: 1.15, yaw: 286.23 Emitters.Mode: 0 
Player: t: 0.57, MSLAlt: 1337.82, speed(m/s): 201.85, heading: 5.00, x: -298126.67, y: 1337.81, z: 687841.26, pitch: 1.39, bank: 1.15, yaw: 286.22 Emitters.Mode: 0 
