Player: t: 0.00, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 4.05, x: -279518.47, y: 1338.23, z: 685426.19, pitch: 2.37, bank: -0.00, yaw: 232.22 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 4.05, x: -279520.64, y: 1338.23, z: 685423.39, pitch: 2.37, bank: -0.00, yaw: 232.22 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1338.23, speed(m/s): 206.44, heading: 4.05, x: -279523.34, y: 1338.23, z: 685419.90, pitch: 2.35, bank: 0.03, yaw: 232.22 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1338.23, speed(m/s): 205.94, heading: 4.05, x: -279526.86, y: 1338.23, z: 685415.36, pitch: 2.29, bank: 0.09, yaw: 232.21 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1338.23, speed(m/s): 205.87, heading: 4.05, x: -279533.08, y: 1338.23, z: 685407.33, pitch: 2.12, bank: 0.30, yaw: 232.16 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1338.23, speed(m/s): 205.85, heading: 4.05, x: -279535.51, y: 1338.23, z: 685404.19, pitch: 2.05, bank: 0.40, yaw: 232.14 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1338.23, speed(m/s): 205.85, heading: 4.05, x: -279537.27, y: 1338.23, z: 685401.92, pitch: 2.01, bank: 0.47, yaw: 232.12 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1338.23, speed(m/s): 205.82, heading: 4.05, x: -279539.57, y: 1338.23, z: 685398.95, pitch: 1.96, bank: 0.58, yaw: 232.10 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1338.23, speed(m/s): 205.78, heading: 4.05, x: -279541.46, y: 1338.22, z: 685396.51, pitch: 1.93, bank: 0.65, yaw: 232.08 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1338.22, speed(m/s): 205.75, heading: 4.05, x: -279543.35, y: 1338.22, z: 685394.07, pitch: 1.89, bank: 0.73, yaw: 232.06 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1338.22, speed(m/s): 205.72, heading: 4.05, x: -279545.51, y: 1338.22, z: 685391.27, pitch: 1.85, bank: 0.84, yaw: 232.04 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1338.21, speed(m/s): 205.72, heading: 4.05, x: -279547.67, y: 1338.21, z: 685388.48, pitch: 1.81, bank: 0.95, yaw: 232.01 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1338.21, speed(m/s): 205.68, heading: 4.05, x: -279549.55, y: 1338.21, z: 685386.04, pitch: 1.79, bank: 1.03, yaw: 231.99 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 1338.20, speed(m/s): 205.65, heading: 4.05, x: -279551.71, y: 1338.20, z: 685383.25, pitch: 1.75, bank: 1.14, yaw: 231.97 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1338.19, speed(m/s): 205.62, heading: 4.05, x: -279553.87, y: 1338.19, z: 685380.46, pitch: 1.73, bank: 1.20, yaw: 231.95 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1338.18, speed(m/s): 205.62, heading: 4.05, x: -279556.16, y: 1338.18, z: 685377.50, pitch: 1.70, bank: 1.30, yaw: 231.93 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1338.17, speed(m/s): 205.58, heading: 4.05, x: -279558.19, y: 1338.17, z: 685374.88, pitch: 1.67, bank: 1.40, yaw: 231.91 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 1338.17, speed(m/s): 205.55, heading: 4.05, x: -279560.48, y: 1338.16, z: 685371.92, pitch: 1.65, bank: 1.46, yaw: 231.90 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 1338.15, speed(m/s): 205.52, heading: 4.05, x: -279562.23, y: 1338.15, z: 685369.65, pitch: 1.63, bank: 1.55, yaw: 231.88 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1338.14, speed(m/s): 205.52, heading: 4.05, x: -279564.25, y: 1338.14, z: 685367.04, pitch: 1.61, bank: 1.61, yaw: 231.87 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 1338.13, speed(m/s): 205.47, heading: 4.05, x: -279566.41, y: 1338.13, z: 685364.25, pitch: 1.59, bank: 1.69, yaw: 231.85 Emitters.Mode: 0 
Player: t: 0.37, MSLAlt: 1338.12, speed(m/s): 205.44, heading: 4.05, x: -279568.29, y: 1338.12, z: 685361.81, pitch: 1.57, bank: 1.74, yaw: 231.84 Emitters.Mode: 0 
Player: t: 0.39, MSLAlt: 1338.10, speed(m/s): 205.41, heading: 4.05, x: -279570.45, y: 1338.10, z: 685359.02, pitch: 1.55, bank: 1.81, yaw: 231.83 Emitters.Mode: 0 
Player: t: 0.40, MSLAlt: 1338.09, speed(m/s): 205.36, heading: 4.05, x: -279572.87, y: 1338.09, z: 685355.89, pitch: 1.52, bank: 1.88, yaw: 231.81 Emitters.Mode: 0 
Player: t: 0.42, MSLAlt: 1338.07, speed(m/s): 205.36, heading: 4.05, x: -279574.62, y: 1338.07, z: 685353.62, pitch: 1.51, bank: 1.93, yaw: 231.81 Emitters.Mode: 0 
Player: t: 0.43, MSLAlt: 1338.05, speed(m/s): 205.33, heading: 4.05, x: -279576.78, y: 1338.05, z: 685350.84, pitch: 1.49, bank: 2.00, yaw: 231.80 Emitters.Mode: 0 
Player: t: 0.45, MSLAlt: 1338.04, speed(m/s): 205.30, heading: 4.05, x: -279578.93, y: 1338.04, z: 685348.05, pitch: 1.47, bank: 2.04, yaw: 231.79 Emitters.Mode: 0 
Player: t: 0.46, MSLAlt: 1338.02, speed(m/s): 205.25, heading: 4.05, x: -279580.95, y: 1338.02, z: 685345.44, pitch: 1.45, bank: 2.10, yaw: 231.78 Emitters.Mode: 0 
Player: t: 0.48, MSLAlt: 1338.01, speed(m/s): 205.25, heading: 4.04, x: -279582.97, y: 1338.00, z: 685342.83, pitch: 1.44, bank: 2.14, yaw: 231.77 Emitters.Mode: 0 
Player: t: 0.49, MSLAlt: 1337.98, speed(m/s): 205.22, heading: 4.04, x: -279585.12, y: 1337.98, z: 685340.05, pitch: 1.42, bank: 2.20, yaw: 231.77 Emitters.Mode: 0 
Player: t: 0.51, MSLAlt: 1337.97, speed(m/s): 205.19, heading: 4.04, x: -279587.00, y: 1337.96, z: 685337.61, pitch: 1.40, bank: 2.24, yaw: 231.76 Emitters.Mode: 0 
Player: t: 0.52, MSLAlt: 1337.94, speed(m/s): 205.14, heading: 4.04, x: -279589.15, y: 1337.94, z: 685334.82, pitch: 1.38, bank: 2.30, yaw: 231.75 Emitters.Mode: 0 
Player: t: 0.54, MSLAlt: 1337.91, speed(m/s): 205.11, heading: 4.04, x: -279591.44, y: 1337.91, z: 685331.87, pitch: 1.37, bank: 2.35, yaw: 231.75 Emitters.Mode: 0 
Player: t: 0.56, MSLAlt: 1337.90, speed(m/s): 205.11, heading: 4.04, x: -279593.45, y: 1337.89, z: 685329.26, pitch: 1.35, bank: 2.39, yaw: 231.74 Emitters.Mode: 0 
Player: t: 0.57, MSLAlt: 1337.87, speed(m/s): 205.07, heading: 4.04, x: -279595.47, y: 1337.87, z: 685326.65, pitch: 1.34, bank: 2.44, yaw: 231.74 Emitters.Mode: 0 
Player: t: 0.59, MSLAlt: 1337.84, speed(m/s): 205.03, heading: 4.04, x: -279597.75, y: 1337.84, z: 685323.69, pitch: 1.32, bank: 2.50, yaw: 231.73 Emitters.Mode: 0 
Player: t: 0.60, MSLAlt: 1337.82, speed(m/s): 205.00, heading: 4.04, x: -279599.77, y: 1337.81, z: 685321.08, pitch: 1.31, bank: 2.53, yaw: 231.73 Emitters.Mode: 0 
Player: t: 0.62, MSLAlt: 1337.79, speed(m/s): 205.00, heading: 4.04, x: -279601.78, y: 1337.79, z: 685318.47, pitch: 1.29, bank: 2.58, yaw: 231.72 Emitters.Mode: 0 
Player: t: 0.64, MSLAlt: 1337.76, speed(m/s): 204.96, heading: 4.04, x: -279604.07, y: 1337.75, z: 685315.52, pitch: 1.28, bank: 2.62, yaw: 231.72 Emitters.Mode: 0 
Player: t: 0.65, MSLAlt: 1337.73, speed(m/s): 204.92, heading: 4.04, x: -279606.08, y: 1337.73, z: 685312.91, pitch: 1.26, bank: 2.67, yaw: 231.71 Emitters.Mode: 0 
Player: t: 0.67, MSLAlt: 1337.71, speed(m/s): 204.89, heading: 4.04, x: -279608.09, y: 1337.70, z: 685310.30, pitch: 1.25, bank: 2.70, yaw: 231.71 Emitters.Mode: 0 
Player: t: 0.68, MSLAlt: 1337.67, speed(m/s): 204.85, heading: 4.04, x: -279610.37, y: 1337.66, z: 685307.35, pitch: 1.23, bank: 2.75, yaw: 231.71 Emitters.Mode: 0 
Player: t: 0.70, MSLAlt: 1337.63, speed(m/s): 204.85, heading: 4.04, x: -279612.25, y: 1337.63, z: 685304.92, pitch: 1.22, bank: 2.79, yaw: 231.70 Emitters.Mode: 0 
Player: t: 0.71, MSLAlt: 1337.61, speed(m/s): 204.81, heading: 4.04, x: -279614.27, y: 1337.60, z: 685302.31, pitch: 1.21, bank: 2.82, yaw: 231.70 Emitters.Mode: 0 
Player: t: 0.73, MSLAlt: 1337.57, speed(m/s): 204.78, heading: 4.04, x: -279616.55, y: 1337.57, z: 685299.36, pitch: 1.19, bank: 2.87, yaw: 231.70 Emitters.Mode: 0 
Player: t: 0.74, MSLAlt: 1337.54, speed(m/s): 204.74, heading: 4.04, x: -279618.42, y: 1337.53, z: 685296.93, pitch: 1.18, bank: 2.90, yaw: 231.69 Emitters.Mode: 0 
Player: t: 0.76, MSLAlt: 1337.50, speed(m/s): 204.74, heading: 4.04, x: -279620.57, y: 1337.50, z: 685294.15, pitch: 1.17, bank: 2.94, yaw: 231.69 Emitters.Mode: 0 
Player: t: 0.77, MSLAlt: 1337.46, speed(m/s): 204.70, heading: 4.04, x: -279622.71, y: 1337.46, z: 685291.37, pitch: 1.15, bank: 2.99, yaw: 231.69 Emitters.Mode: 0 
Player: t: 0.79, MSLAlt: 1337.43, speed(m/s): 204.67, heading: 4.04, x: -279624.59, y: 1337.43, z: 685288.94, pitch: 1.15, bank: 3.02, yaw: 231.69 Emitters.Mode: 0 
Player: t: 0.80, MSLAlt: 1337.40, speed(m/s): 204.64, heading: 4.04, x: -279626.60, y: 1337.39, z: 685286.33, pitch: 1.14, bank: 3.04, yaw: 231.69 Emitters.Mode: 0 
Player: t: 0.82, MSLAlt: 1337.36, speed(m/s): 204.59, heading: 4.04, x: -279628.88, y: 1337.35, z: 685283.38, pitch: 1.12, bank: 3.08, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.83, MSLAlt: 1337.31, speed(m/s): 204.59, heading: 4.04, x: -279630.89, y: 1337.31, z: 685280.78, pitch: 1.11, bank: 3.12, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.85, MSLAlt: 1337.28, speed(m/s): 204.56, heading: 4.04, x: -279632.90, y: 1337.27, z: 685278.17, pitch: 1.10, bank: 3.15, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.87, MSLAlt: 1337.23, speed(m/s): 204.53, heading: 4.04, x: -279635.17, y: 1337.22, z: 685275.22, pitch: 1.09, bank: 3.19, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.88, MSLAlt: 1337.20, speed(m/s): 204.49, heading: 4.04, x: -279637.05, y: 1337.18, z: 685272.79, pitch: 1.08, bank: 3.21, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.90, MSLAlt: 1337.15, speed(m/s): 204.49, heading: 4.04, x: -279639.19, y: 1337.14, z: 685270.01, pitch: 1.07, bank: 3.25, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.91, MSLAlt: 1337.10, speed(m/s): 204.46, heading: 4.04, x: -279641.33, y: 1337.09, z: 685267.24, pitch: 1.05, bank: 3.29, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.93, MSLAlt: 1337.06, speed(m/s): 204.42, heading: 4.04, x: -279643.34, y: 1337.05, z: 685264.64, pitch: 1.05, bank: 3.31, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.94, MSLAlt: 1337.01, speed(m/s): 204.38, heading: 4.04, x: -279645.48, y: 1337.00, z: 685261.86, pitch: 1.03, bank: 3.35, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.96, MSLAlt: 1336.96, speed(m/s): 204.35, heading: 4.04, x: -279647.62, y: 1336.96, z: 685259.09, pitch: 1.02, bank: 3.38, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.97, MSLAlt: 1336.92, speed(m/s): 204.35, heading: 4.04, x: -279649.49, y: 1336.91, z: 685256.66, pitch: 1.01, bank: 3.41, yaw: 231.68 Emitters.Mode: 0 
Player: t: 0.99, MSLAlt: 1336.86, speed(m/s): 204.32, heading: 4.04, x: -279651.63, y: 1336.86, z: 685253.88, pitch: 1.00, bank: 3.44, yaw: 231.69 Emitters.Mode: 0 
Player: t: 1.01, MSLAlt: 1336.82, speed(m/s): 204.28, heading: 4.04, x: -279653.77, y: 1336.81, z: 685251.11, pitch: 0.99, bank: 3.46, yaw: 231.69 Emitters.Mode: 0 
Player: t: 1.02, MSLAlt: 1336.77, speed(m/s): 204.25, heading: 4.04, x: -279655.91, y: 1336.76, z: 685248.33, pitch: 0.98, bank: 3.50, yaw: 231.69 Emitters.Mode: 0 
Player: t: 1.04, MSLAlt: 1336.71, speed(m/s): 204.25, heading: 4.04, x: -279658.05, y: 1336.71, z: 685245.56, pitch: 0.97, bank: 3.53, yaw: 231.69 Emitters.Mode: 0 
Player: t: 1.05, MSLAlt: 1336.67, speed(m/s): 204.22, heading: 4.04, x: -279660.18, y: 1336.65, z: 685242.79, pitch: 0.96, bank: 3.55, yaw: 231.69 Emitters.Mode: 0 
Player: t: 1.07, MSLAlt: 1336.61, speed(m/s): 204.18, heading: 4.04, x: -279662.19, y: 1336.60, z: 685240.19, pitch: 0.95, bank: 3.58, yaw: 231.70 Emitters.Mode: 0 
Player: t: 1.08, MSLAlt: 1336.56, speed(m/s): 204.15, heading: 4.04, x: -279664.19, y: 1336.55, z: 685237.59, pitch: 0.94, bank: 3.60, yaw: 231.70 Emitters.Mode: 0 
Player: t: 1.10, MSLAlt: 1336.50, speed(m/s): 204.12, heading: 4.04, x: -279666.60, y: 1336.49, z: 685234.47, pitch: 0.93, bank: 3.64, yaw: 231.70 Emitters.Mode: 0 
Player: t: 1.12, MSLAlt: 1336.44, speed(m/s): 204.12, heading: 4.04, x: -279668.60, y: 1336.43, z: 685231.87, pitch: 0.92, bank: 3.67, yaw: 231.71 Emitters.Mode: 0 
Player: t: 1.13, MSLAlt: 1336.40, speed(m/s): 204.08, heading: 4.04, x: -279670.33, y: 1336.39, z: 685229.62, pitch: 0.92, bank: 3.69, yaw: 231.71 Emitters.Mode: 0 
Player: t: 1.15, MSLAlt: 1336.33, speed(m/s): 204.05, heading: 4.04, x: -279672.47, y: 1336.33, z: 685226.84, pitch: 0.91, bank: 3.72, yaw: 231.72 Emitters.Mode: 0 
Player: t: 1.16, MSLAlt: 1336.29, speed(m/s): 204.02, heading: 4.04, x: -279674.47, y: 1336.27, z: 685224.25, pitch: 0.90, bank: 3.74, yaw: 231.72 Emitters.Mode: 0 
Player: t: 1.18, MSLAlt: 1336.22, speed(m/s): 204.02, heading: 4.04, x: -279676.74, y: 1336.21, z: 685221.30, pitch: 0.89, bank: 3.77, yaw: 231.72 Emitters.Mode: 0 
Player: t: 1.19, MSLAlt: 1336.17, speed(m/s): 203.98, heading: 4.04, x: -279678.74, y: 1336.15, z: 685218.70, pitch: 0.88, bank: 3.79, yaw: 231.73 Emitters.Mode: 0 
